uname,filename,status,fullname,affil
singh,paper197.pdf,Poster,"Dr. Birbikram Singh"," , Sri Guru Granth Sahib World University"
vyas,paper245.pdf,Poster,"Mr. Ankit Kumar","Department of Physics, Indian Institute of Technology Roorkee"
arvindiiti,paper497.pdf,Poster,"Mr. Arvind Khuntia","Department of Physics, Indian Institute of Technology Indore"
isha,,,"Ms. Isha Desai","Department of Physics, Veer Narmad South Gujarat University"
sheetalr,paper364.pdf,Poster,"Ms. Sheetal Rawat","Department of Physics, Indian Institute of Technology Roorkee"
ikram,paper294.pdf,Poster,"Mr. Mohammad Ikram","Department of Phyiscs, Aligarh Muslim University"
annugupta,paper632.pdf,Poster,"Ms. Anu Radha Gupta","Department of Physics, University of Jammu"
mayaz.alig,paper303.pdf,Poster,"Dr. Mohammad Ayaz Ahmad","Physics Department, University of Tabuk"
ajeet@1234,paper313.pdf,Poster,"Mr. Ajeet Singh"," , Rajiv Gandhi Institute of Petroleum Technology"
pphy17001,,,"Mr. Akhilesh Yadav"," , Rajiv Gandhi Institute of Petroleum Technology"
abhiabhi,,,"Mr.  Abhishek","Department of Physics, Indian Institute of Technology Roorkee"
sgwahid,paper314.pdf,Poster,"Mr. S Gholam Wahid"," , UM-DAE Centre for Excellence In Basic Sciences"
rocky,paper316.pdf,Poster,"Mr. Nabendu Kumar Deb","Department of Physics, Gauhati University"
ishfaq333,paper317.pdf,Poster,"Mr. Ishfaq Ahmad Rather","Department of Phyiscs, Aligarh Muslim University"
vikas2710,,,"Mr. Vikas Patel","Applied Physics Department, Sardar Vallabhbhai National Institute of Technology"
rahimya666,paper321.pdf,Poster,"Mr. Ishfaq Bhat","Department of Phyiscs, Aligarh Muslim University"
vchoudhary,,,"Mr. Vishal Choudhary","Department of Physics, Indian Institute of Technology Roorkee"
smritiphy,,,"Dr. Smruti Patel","Government Science College^ Songadh^ Tapi, Veer Narmad South Gujarat University"
hemdeep,paper330.pdf,ThesisPoster,"Ms. Hemdeep Ms.","Department of Phyiscs, Panjab University"
laveenpv,paper325.pdf,Poster,"Mr. Laveen P V","Department of Physics, Central University of Kerala"
nithu,paper328.pdf,ThesisPoster,"Ms. Nithu Ashok","Department of Physics, University of Calicut"
barun,paper331.pdf,Poster,"Mr. Barun Slathia","Department of Physics, University of Jammu"
pramodk93,,,"Mr. Pramod Kumar","Department of Physics, Banaras Hindu University"
